Player Name,Club,Position,Metric,Value
Nicolas Pépé,Villarreal,CAM_Winger,Goals,3
Nicolas Pépé,Villarreal,CAM_Winger,Assists,6
Nicolas Pépé,Villarreal,CAM_Winger,NPG,3
Nicolas Pépé,Villarreal,CAM_Winger,XG,3.8
Nicolas Pépé,Villarreal,CAM_Winger,XA,4.8
Nicolas Pépé,Villarreal,CAM_Winger,Progressive passes,60
Nicolas Pépé,Villarreal,CAM_Winger,Progressive carries,76
Nicolas Pépé,Villarreal,CAM_Winger,Passes completed,499
Nicolas Pépé,Villarreal,CAM_Winger,Passes attempted,631
Nicolas Pépé,Villarreal,CAM_Winger,Key passes,33
Nicolas Pépé,Villarreal,CAM_Winger,Through balls,5
Nicolas Pépé,Villarreal,CAM_Winger,Switches,2
Nicolas Pépé,Villarreal,CAM_Winger,Crosses,44
Nicolas Pépé,Villarreal,CAM_Winger,Corners,20
Nicolas Pépé,Villarreal,CAM_Winger,Shot creating Actions,65
Nicolas Pépé,Villarreal,CAM_Winger,SCA Take Ons,5
Nicolas Pépé,Villarreal,CAM_Winger,GCA Shots,0
Nicolas Pépé,Villarreal,CAM_Winger,Goal Creating Actions,7
Nicolas Pépé,Villarreal,CAM_Winger,Tackles,22
Nicolas Pépé,Villarreal,CAM_Winger,Dribblers tackles,NA
Nicolas Pépé,Villarreal,CAM_Winger,Shots blocked,1
Nicolas Pépé,Villarreal,CAM_Winger,Blocks,12
Nicolas Pépé,Villarreal,CAM_Winger,Interceptions,5
Nicolas Pépé,Villarreal,CAM_Winger,Passes Recieved,622
Nicolas Pépé,Villarreal,CAM_Winger,Offsides,8
Nicolas Pépé,Villarreal,CAM_Winger,Ball recoveries,53
Nicolas Pépé,Villarreal,CAM_Winger,Errors,0
Nicolas Pépé,Villarreal,CAM_Winger,Touches,842
Nicolas Pépé,Villarreal,CAM_Winger,Miscontrols,52
Nicolas Pépé,Villarreal,CAM_Winger,Dispossessed,20
Nicolas Pépé,Villarreal,CAM_Winger,Yellow Cards,3
Nicolas Pépé,Villarreal,CAM_Winger,Red Cards,0
Nicolas Pépé,Villarreal,CAM_Winger,Fouls committed,20
Nicolas Pépé,Villarreal,CAM_Winger,Aerials Won,16
