Player Name,Club,Position,Metric,Value
Pablo Sarabia,Unknown,CAM_Winger,Goals,3
Pablo Sarabia,Unknown,CAM_Winger,Assists,2
Pablo Sarabia,Unknown,CAM_Winger,NPG,3
Pablo Sarabia,Unknown,CAM_Winger,XG,2.9
Pablo Sarabia,Unknown,CAM_Winger,XA,1.8
Pablo Sarabia,Unknown,CAM_Winger,Progressive passes,60
Pablo Sarabia,Unknown,CAM_Winger,Progressive carries,15
Pablo Sarabia,Unknown,CAM_Winger,Passes completed,308
Pablo Sarabia,Unknown,CAM_Winger,Passes attempted,445
Pablo Sarabia,Unknown,CAM_Winger,Key passes,15
Pablo Sarabia,Unknown,CAM_Winger,Through balls,5
Pablo Sarabia,Unknown,CAM_Winger,Switches,2
Pablo Sarabia,Unknown,CAM_Winger,Crosses,47
Pablo Sarabia,Unknown,CAM_Winger,Corners,24
Pablo Sarabia,Unknown,CAM_Winger,Shot creating Actions,28
Pablo Sarabia,Unknown,CAM_Winger,SCA Take Ons,2
Pablo Sarabia,Unknown,CAM_Winger,GCA Shots,0
Pablo Sarabia,Unknown,CAM_Winger,Goal Creating Actions,5
Pablo Sarabia,Unknown,CAM_Winger,Tackles,16
Pablo Sarabia,Unknown,CAM_Winger,Dribblers tackles,NA
Pablo Sarabia,Unknown,CAM_Winger,Shots blocked,0
Pablo Sarabia,Unknown,CAM_Winger,Blocks,10
Pablo Sarabia,Unknown,CAM_Winger,Interceptions,4
Pablo Sarabia,Unknown,CAM_Winger,Passes Recieved,387
Pablo Sarabia,Unknown,CAM_Winger,Offsides,5
Pablo Sarabia,Unknown,CAM_Winger,Ball recoveries,34
Pablo Sarabia,Unknown,CAM_Winger,Errors,1
Pablo Sarabia,Unknown,CAM_Winger,Touches,552
Pablo Sarabia,Unknown,CAM_Winger,Miscontrols,22
Pablo Sarabia,Unknown,CAM_Winger,Dispossessed,14
Pablo Sarabia,Unknown,CAM_Winger,Yellow Cards,3
Pablo Sarabia,Unknown,CAM_Winger,Red Cards,0
Pablo Sarabia,Unknown,CAM_Winger,Fouls committed,16
Pablo Sarabia,Unknown,CAM_Winger,Aerials Won,5
