Player Name,Club,Position,Metric,Value
Adama Traoré,Fulham,CAM_Winger,Goals,2
Adama Traoré,Fulham,CAM_Winger,Assists,7
Adama Traoré,Fulham,CAM_Winger,NPG,2
Adama Traoré,Fulham,CAM_Winger,XG,4.0
Adama Traoré,Fulham,CAM_Winger,XA,4.9
Adama Traoré,Fulham,CAM_Winger,Progressive passes,68
Adama Traoré,Fulham,CAM_Winger,Progressive carries,100
Adama Traoré,Fulham,CAM_Winger,Passes completed,424
Adama Traoré,Fulham,CAM_Winger,Passes attempted,587
Adama Traoré,Fulham,CAM_Winger,Key passes,42
Adama Traoré,Fulham,CAM_Winger,Through balls,6
Adama Traoré,Fulham,CAM_Winger,Switches,2
Adama Traoré,Fulham,CAM_Winger,Crosses,100
Adama Traoré,Fulham,CAM_Winger,Corners,0
Adama Traoré,Fulham,CAM_Winger,Shot creating Actions,82
Adama Traoré,Fulham,CAM_Winger,SCA Take Ons,9
Adama Traoré,Fulham,CAM_Winger,GCA Shots,0
Adama Traoré,Fulham,CAM_Winger,Goal Creating Actions,10
Adama Traoré,Fulham,CAM_Winger,Tackles,20
Adama Traoré,Fulham,CAM_Winger,Dribblers tackles,NA
Adama Traoré,Fulham,CAM_Winger,Shots blocked,0
Adama Traoré,Fulham,CAM_Winger,Blocks,7
Adama Traoré,Fulham,CAM_Winger,Interceptions,1
Adama Traoré,Fulham,CAM_Winger,Passes Recieved,607
Adama Traoré,Fulham,CAM_Winger,Offsides,1
Adama Traoré,Fulham,CAM_Winger,Ball recoveries,87
Adama Traoré,Fulham,CAM_Winger,Errors,4
Adama Traoré,Fulham,CAM_Winger,Touches,801
Adama Traoré,Fulham,CAM_Winger,Miscontrols,37
Adama Traoré,Fulham,CAM_Winger,Dispossessed,25
Adama Traoré,Fulham,CAM_Winger,Yellow Cards,3
Adama Traoré,Fulham,CAM_Winger,Red Cards,0
Adama Traoré,Fulham,CAM_Winger,Fouls committed,24
Adama Traoré,Fulham,CAM_Winger,Aerials Won,25
