Player Name,Club,Position,Metric,Value
Amad Diallo,Manchester United,CAM_Winger,Goals,8
Amad Diallo,Manchester United,CAM_Winger,Assists,6
Amad Diallo,Manchester United,CAM_Winger,NPG,8
Amad Diallo,Manchester United,CAM_Winger,XG,4.7
Amad Diallo,Manchester United,CAM_Winger,XA,4.9
Amad Diallo,Manchester United,CAM_Winger,Progressive passes,60
Amad Diallo,Manchester United,CAM_Winger,Progressive carries,109
Amad Diallo,Manchester United,CAM_Winger,Passes completed,795
Amad Diallo,Manchester United,CAM_Winger,Passes attempted,949
Amad Diallo,Manchester United,CAM_Winger,Key passes,49
Amad Diallo,Manchester United,CAM_Winger,Through balls,3
Amad Diallo,Manchester United,CAM_Winger,Switches,1
Amad Diallo,Manchester United,CAM_Winger,Crosses,42
Amad Diallo,Manchester United,CAM_Winger,Corners,32
Amad Diallo,Manchester United,CAM_Winger,Shot creating Actions,97
Amad Diallo,Manchester United,CAM_Winger,SCA Take Ons,10
Amad Diallo,Manchester United,CAM_Winger,GCA Shots,1
Amad Diallo,Manchester United,CAM_Winger,Goal Creating Actions,18
Amad Diallo,Manchester United,CAM_Winger,Tackles,38
Amad Diallo,Manchester United,CAM_Winger,Dribblers tackles,NA
Amad Diallo,Manchester United,CAM_Winger,Shots blocked,2
Amad Diallo,Manchester United,CAM_Winger,Blocks,15
Amad Diallo,Manchester United,CAM_Winger,Interceptions,11
Amad Diallo,Manchester United,CAM_Winger,Passes Recieved,854
Amad Diallo,Manchester United,CAM_Winger,Offsides,9
Amad Diallo,Manchester United,CAM_Winger,Ball recoveries,109
Amad Diallo,Manchester United,CAM_Winger,Errors,1
Amad Diallo,Manchester United,CAM_Winger,Touches,1207
Amad Diallo,Manchester United,CAM_Winger,Miscontrols,42
Amad Diallo,Manchester United,CAM_Winger,Dispossessed,35
Amad Diallo,Manchester United,CAM_Winger,Yellow Cards,5
Amad Diallo,Manchester United,CAM_Winger,Red Cards,0
Amad Diallo,Manchester United,CAM_Winger,Fouls committed,21
Amad Diallo,Manchester United,CAM_Winger,Aerials Won,10
