Player Name,Club,Position,Metric,Value
Daniel James,Leeds United,CAM_Winger,Goals,12
Daniel James,Leeds United,CAM_Winger,Assists,9
Daniel James,Leeds United,CAM_Winger,NPG,12
Daniel James,Leeds United,CAM_Winger,XG,10.4
Daniel James,Leeds United,CAM_Winger,XA,8.7
Daniel James,Leeds United,CAM_Winger,Progressive passes,100
Daniel James,Leeds United,CAM_Winger,Progressive carries,117
Daniel James,Leeds United,CAM_Winger,Passes completed,475
Daniel James,Leeds United,CAM_Winger,Passes attempted,818
Daniel James,Leeds United,CAM_Winger,Key passes,44
Daniel James,Leeds United,CAM_Winger,Through balls,5
Daniel James,Leeds United,CAM_Winger,Switches,1
Daniel James,Leeds United,CAM_Winger,Crosses,169
Daniel James,Leeds United,CAM_Winger,Corners,10
Daniel James,Leeds United,CAM_Winger,Shot creating Actions,95
Daniel James,Leeds United,CAM_Winger,SCA Take Ons,5
Daniel James,Leeds United,CAM_Winger,GCA Shots,0
Daniel James,Leeds United,CAM_Winger,Goal Creating Actions,15
Daniel James,Leeds United,CAM_Winger,Tackles,28
Daniel James,Leeds United,CAM_Winger,Dribblers tackles,NA
Daniel James,Leeds United,CAM_Winger,Shots blocked,0
Daniel James,Leeds United,CAM_Winger,Blocks,16
Daniel James,Leeds United,CAM_Winger,Interceptions,4
Daniel James,Leeds United,CAM_Winger,Passes Recieved,821
Daniel James,Leeds United,CAM_Winger,Offsides,10
Daniel James,Leeds United,CAM_Winger,Ball recoveries,76
Daniel James,Leeds United,CAM_Winger,Errors,0
Daniel James,Leeds United,CAM_Winger,Touches,1110
Daniel James,Leeds United,CAM_Winger,Miscontrols,37
Daniel James,Leeds United,CAM_Winger,Dispossessed,37
Daniel James,Leeds United,CAM_Winger,Yellow Cards,4
Daniel James,Leeds United,CAM_Winger,Red Cards,0
Daniel James,Leeds United,CAM_Winger,Fouls committed,22
Daniel James,Leeds United,CAM_Winger,Aerials Won,23
