Player Name,Club,Position,Metric,Value
Hakim Ziyech,Unknown,CAM_Winger,Goals,0
Hakim Ziyech,Unknown,CAM_Winger,Assists,1
Hakim Ziyech,Unknown,CAM_Winger,NPG,0
Hakim Ziyech,Unknown,CAM_Winger,XG,NA
Hakim Ziyech,Unknown,CAM_Winger,XA,NA
Hakim Ziyech,Unknown,CAM_Winger,Progressive passes,NA
Hakim Ziyech,Unknown,CAM_Winger,Progressive carries,NA
Hakim Ziyech,Unknown,CAM_Winger,Passes completed,NA
Hakim Ziyech,Unknown,CAM_Winger,Passes attempted,NA
Hakim Ziyech,Unknown,CAM_Winger,Key passes,NA
Hakim Ziyech,Unknown,CAM_Winger,Through balls,NA
Hakim Ziyech,Unknown,CAM_Winger,Switches,NA
Hakim Ziyech,Unknown,CAM_Winger,Crosses,20
Hakim Ziyech,Unknown,CAM_Winger,Corners,NA
Hakim Ziyech,Unknown,CAM_Winger,Shot creating Actions,NA
Hakim Ziyech,Unknown,CAM_Winger,SCA Take Ons,NA
Hakim Ziyech,Unknown,CAM_Winger,GCA Shots,NA
Hakim Ziyech,Unknown,CAM_Winger,Goal Creating Actions,NA
Hakim Ziyech,Unknown,CAM_Winger,Tackles,3
Hakim Ziyech,Unknown,CAM_Winger,Dribblers tackles,NA
Hakim Ziyech,Unknown,CAM_Winger,Shots blocked,NA
Hakim Ziyech,Unknown,CAM_Winger,Blocks,NA
Hakim Ziyech,Unknown,CAM_Winger,Interceptions,0
Hakim Ziyech,Unknown,CAM_Winger,Passes Recieved,NA
Hakim Ziyech,Unknown,CAM_Winger,Offsides,1
Hakim Ziyech,Unknown,CAM_Winger,Ball recoveries,NA
Hakim Ziyech,Unknown,CAM_Winger,Errors,NA
Hakim Ziyech,Unknown,CAM_Winger,Touches,NA
Hakim Ziyech,Unknown,CAM_Winger,Miscontrols,NA
Hakim Ziyech,Unknown,CAM_Winger,Dispossessed,NA
Hakim Ziyech,Unknown,CAM_Winger,Yellow Cards,1
Hakim Ziyech,Unknown,CAM_Winger,Red Cards,0
Hakim Ziyech,Unknown,CAM_Winger,Fouls committed,2
Hakim Ziyech,Unknown,CAM_Winger,Aerials Won,NA
