Player Name,Club,Position,Metric,Value
Matheus Cunha,Manchester United,CAM_Winger,Goals,15
Matheus Cunha,Manchester United,CAM_Winger,Assists,6
Matheus Cunha,Manchester United,CAM_Winger,NPG,15
Matheus Cunha,Manchester United,CAM_Winger,XG,8.6
Matheus Cunha,Manchester United,CAM_Winger,XA,7.7
Matheus Cunha,Manchester United,CAM_Winger,Progressive passes,144
Matheus Cunha,Manchester United,CAM_Winger,Progressive carries,112
Matheus Cunha,Manchester United,CAM_Winger,Passes completed,811
Matheus Cunha,Manchester United,CAM_Winger,Passes attempted,1133
Matheus Cunha,Manchester United,CAM_Winger,Key passes,56
Matheus Cunha,Manchester United,CAM_Winger,Through balls,14
Matheus Cunha,Manchester United,CAM_Winger,Switches,15
Matheus Cunha,Manchester United,CAM_Winger,Crosses,142
Matheus Cunha,Manchester United,CAM_Winger,Corners,73
Matheus Cunha,Manchester United,CAM_Winger,Shot creating Actions,132
Matheus Cunha,Manchester United,CAM_Winger,SCA Take Ons,19
Matheus Cunha,Manchester United,CAM_Winger,GCA Shots,0
Matheus Cunha,Manchester United,CAM_Winger,Goal Creating Actions,16
Matheus Cunha,Manchester United,CAM_Winger,Tackles,38
Matheus Cunha,Manchester United,CAM_Winger,Dribblers tackles,NA
Matheus Cunha,Manchester United,CAM_Winger,Shots blocked,1
Matheus Cunha,Manchester United,CAM_Winger,Blocks,21
Matheus Cunha,Manchester United,CAM_Winger,Interceptions,17
Matheus Cunha,Manchester United,CAM_Winger,Passes Recieved,1056
Matheus Cunha,Manchester United,CAM_Winger,Offsides,8
Matheus Cunha,Manchester United,CAM_Winger,Ball recoveries,125
Matheus Cunha,Manchester United,CAM_Winger,Errors,0
Matheus Cunha,Manchester United,CAM_Winger,Touches,1561
Matheus Cunha,Manchester United,CAM_Winger,Miscontrols,80
Matheus Cunha,Manchester United,CAM_Winger,Dispossessed,55
Matheus Cunha,Manchester United,CAM_Winger,Yellow Cards,4
Matheus Cunha,Manchester United,CAM_Winger,Red Cards,0
Matheus Cunha,Manchester United,CAM_Winger,Fouls committed,42
Matheus Cunha,Manchester United,CAM_Winger,Aerials Won,13
