Player Name,Club,Position,Metric,Value
Mohamed Salah,Liverpool,CAM_Winger,Goals,29
Mohamed Salah,Liverpool,CAM_Winger,Assists,18
Mohamed Salah,Liverpool,CAM_Winger,NPG,20
Mohamed Salah,Liverpool,CAM_Winger,XG,25.2
Mohamed Salah,Liverpool,CAM_Winger,XA,14.2
Mohamed Salah,Liverpool,CAM_Winger,Progressive passes,144
Mohamed Salah,Liverpool,CAM_Winger,Progressive carries,155
Mohamed Salah,Liverpool,CAM_Winger,Passes completed,892
Mohamed Salah,Liverpool,CAM_Winger,Passes attempted,1263
Mohamed Salah,Liverpool,CAM_Winger,Key passes,88
Mohamed Salah,Liverpool,CAM_Winger,Through balls,19
Mohamed Salah,Liverpool,CAM_Winger,Switches,3
Mohamed Salah,Liverpool,CAM_Winger,Crosses,79
Mohamed Salah,Liverpool,CAM_Winger,Corners,0
Mohamed Salah,Liverpool,CAM_Winger,Shot creating Actions,169
Mohamed Salah,Liverpool,CAM_Winger,SCA Take Ons,22
Mohamed Salah,Liverpool,CAM_Winger,GCA Shots,2
Mohamed Salah,Liverpool,CAM_Winger,Goal Creating Actions,27
Mohamed Salah,Liverpool,CAM_Winger,Tackles,21
Mohamed Salah,Liverpool,CAM_Winger,Dribblers tackles,NA
Mohamed Salah,Liverpool,CAM_Winger,Shots blocked,0
Mohamed Salah,Liverpool,CAM_Winger,Blocks,12
Mohamed Salah,Liverpool,CAM_Winger,Interceptions,9
Mohamed Salah,Liverpool,CAM_Winger,Passes Recieved,1407
Mohamed Salah,Liverpool,CAM_Winger,Offsides,18
Mohamed Salah,Liverpool,CAM_Winger,Ball recoveries,101
Mohamed Salah,Liverpool,CAM_Winger,Errors,0
Mohamed Salah,Liverpool,CAM_Winger,Touches,1695
Mohamed Salah,Liverpool,CAM_Winger,Miscontrols,116
Mohamed Salah,Liverpool,CAM_Winger,Dispossessed,67
Mohamed Salah,Liverpool,CAM_Winger,Yellow Cards,1
Mohamed Salah,Liverpool,CAM_Winger,Red Cards,0
Mohamed Salah,Liverpool,CAM_Winger,Fouls committed,25
Mohamed Salah,Liverpool,CAM_Winger,Aerials Won,9
