Player Name,Club,Position,Metric,Value
Pedro Neto,Chelsea,CAM_Winger,Goals,4
Pedro Neto,Chelsea,CAM_Winger,Assists,6
Pedro Neto,Chelsea,CAM_Winger,NPG,4
Pedro Neto,Chelsea,CAM_Winger,XG,3.5
Pedro Neto,Chelsea,CAM_Winger,XA,6.7
Pedro Neto,Chelsea,CAM_Winger,Progressive passes,60
Pedro Neto,Chelsea,CAM_Winger,Progressive carries,126
Pedro Neto,Chelsea,CAM_Winger,Passes completed,702
Pedro Neto,Chelsea,CAM_Winger,Passes attempted,895
Pedro Neto,Chelsea,CAM_Winger,Key passes,46
Pedro Neto,Chelsea,CAM_Winger,Through balls,0
Pedro Neto,Chelsea,CAM_Winger,Switches,5
Pedro Neto,Chelsea,CAM_Winger,Crosses,149
Pedro Neto,Chelsea,CAM_Winger,Corners,56
Pedro Neto,Chelsea,CAM_Winger,Shot creating Actions,90
Pedro Neto,Chelsea,CAM_Winger,SCA Take Ons,6
Pedro Neto,Chelsea,CAM_Winger,GCA Shots,1
Pedro Neto,Chelsea,CAM_Winger,Goal Creating Actions,9
Pedro Neto,Chelsea,CAM_Winger,Tackles,23
Pedro Neto,Chelsea,CAM_Winger,Dribblers tackles,NA
Pedro Neto,Chelsea,CAM_Winger,Shots blocked,2
Pedro Neto,Chelsea,CAM_Winger,Blocks,14
Pedro Neto,Chelsea,CAM_Winger,Interceptions,9
Pedro Neto,Chelsea,CAM_Winger,Passes Recieved,838
Pedro Neto,Chelsea,CAM_Winger,Offsides,3
Pedro Neto,Chelsea,CAM_Winger,Ball recoveries,81
Pedro Neto,Chelsea,CAM_Winger,Errors,0
Pedro Neto,Chelsea,CAM_Winger,Touches,1153
Pedro Neto,Chelsea,CAM_Winger,Miscontrols,45
Pedro Neto,Chelsea,CAM_Winger,Dispossessed,30
Pedro Neto,Chelsea,CAM_Winger,Yellow Cards,8
Pedro Neto,Chelsea,CAM_Winger,Red Cards,0
Pedro Neto,Chelsea,CAM_Winger,Fouls committed,21
Pedro Neto,Chelsea,CAM_Winger,Aerials Won,11
