Player Name,Club,Position,Metric,Value
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Goals,10
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Assists,7
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,NPG,10
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,XG,6.6
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,XA,3.7
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Progressive passes,130
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Progressive carries,64
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Passes completed,783
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Passes attempted,1090
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Key passes,27
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Through balls,12
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Switches,5
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Crosses,80
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Corners,9
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Shot creating Actions,111
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,SCA Take Ons,14
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,GCA Shots,1
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Goal Creating Actions,16
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Tackles,66
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Dribblers tackles,NA
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Shots blocked,2
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Blocks,57
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Interceptions,14
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Passes Recieved,1031
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Offsides,8
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Ball recoveries,133
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Errors,1
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Touches,1537
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Miscontrols,58
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Dispossessed,62
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Yellow Cards,2
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Red Cards,0
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Fouls committed,27
Ritsu Doan,Eintracht Frankfurt,CAM_Winger,Aerials Won,16
