Player Name,Club,Position,Metric,Value
Riyad Mahrez,Al-Ahli,CAM_Winger,Goals,8
Riyad Mahrez,Al-Ahli,CAM_Winger,Assists,10
Riyad Mahrez,Al-Ahli,CAM_Winger,NPG,7
Riyad Mahrez,Al-Ahli,CAM_Winger,XG,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,XA,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Progressive passes,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Progressive carries,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Passes completed,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Passes attempted,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Key passes,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Through balls,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Switches,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Crosses,186
Riyad Mahrez,Al-Ahli,CAM_Winger,Corners,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Shot creating Actions,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,SCA Take Ons,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,GCA Shots,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Goal Creating Actions,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Tackles,21
Riyad Mahrez,Al-Ahli,CAM_Winger,Dribblers tackles,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Shots blocked,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Blocks,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Interceptions,11
Riyad Mahrez,Al-Ahli,CAM_Winger,Passes Recieved,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Offsides,25
Riyad Mahrez,Al-Ahli,CAM_Winger,Ball recoveries,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Errors,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Touches,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Miscontrols,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Dispossessed,NA
Riyad Mahrez,Al-Ahli,CAM_Winger,Yellow Cards,4
Riyad Mahrez,Al-Ahli,CAM_Winger,Red Cards,0
Riyad Mahrez,Al-Ahli,CAM_Winger,Fouls committed,28
Riyad Mahrez,Al-Ahli,CAM_Winger,Aerials Won,NA
