Player Name,Club,Position,Metric,Value
Samuel Chukwueze,Fulham,CAM_Winger,Goals,3
Samuel Chukwueze,Fulham,CAM_Winger,Assists,2
Samuel Chukwueze,Fulham,CAM_Winger,NPG,3
Samuel Chukwueze,Fulham,CAM_Winger,XG,2.7
Samuel Chukwueze,Fulham,CAM_Winger,XA,3.0
Samuel Chukwueze,Fulham,CAM_Winger,Progressive passes,36
Samuel Chukwueze,Fulham,CAM_Winger,Progressive carries,48
Samuel Chukwueze,Fulham,CAM_Winger,Passes completed,320
Samuel Chukwueze,Fulham,CAM_Winger,Passes attempted,422
Samuel Chukwueze,Fulham,CAM_Winger,Key passes,27
Samuel Chukwueze,Fulham,CAM_Winger,Through balls,4
Samuel Chukwueze,Fulham,CAM_Winger,Switches,6
Samuel Chukwueze,Fulham,CAM_Winger,Crosses,50
Samuel Chukwueze,Fulham,CAM_Winger,Corners,17
Samuel Chukwueze,Fulham,CAM_Winger,Shot creating Actions,49
Samuel Chukwueze,Fulham,CAM_Winger,SCA Take Ons,6
Samuel Chukwueze,Fulham,CAM_Winger,GCA Shots,0
Samuel Chukwueze,Fulham,CAM_Winger,Goal Creating Actions,2
Samuel Chukwueze,Fulham,CAM_Winger,Tackles,17
Samuel Chukwueze,Fulham,CAM_Winger,Dribblers tackles,NA
Samuel Chukwueze,Fulham,CAM_Winger,Shots blocked,0
Samuel Chukwueze,Fulham,CAM_Winger,Blocks,3
Samuel Chukwueze,Fulham,CAM_Winger,Interceptions,2
Samuel Chukwueze,Fulham,CAM_Winger,Passes Recieved,406
Samuel Chukwueze,Fulham,CAM_Winger,Offsides,3
Samuel Chukwueze,Fulham,CAM_Winger,Ball recoveries,38
Samuel Chukwueze,Fulham,CAM_Winger,Errors,0
Samuel Chukwueze,Fulham,CAM_Winger,Touches,556
Samuel Chukwueze,Fulham,CAM_Winger,Miscontrols,23
Samuel Chukwueze,Fulham,CAM_Winger,Dispossessed,11
Samuel Chukwueze,Fulham,CAM_Winger,Yellow Cards,0
Samuel Chukwueze,Fulham,CAM_Winger,Red Cards,0
Samuel Chukwueze,Fulham,CAM_Winger,Fouls committed,3
Samuel Chukwueze,Fulham,CAM_Winger,Aerials Won,6
