Player Name,Club,Position,Metric,Value
Thomas Lemar,Girona,CAM_Winger,Goals,0
Thomas Lemar,Girona,CAM_Winger,Assists,0
Thomas Lemar,Girona,CAM_Winger,NPG,0
Thomas Lemar,Girona,CAM_Winger,XG,0.3
Thomas Lemar,Girona,CAM_Winger,XA,0.2
Thomas Lemar,Girona,CAM_Winger,Progressive passes,8
Thomas Lemar,Girona,CAM_Winger,Progressive carries,1
Thomas Lemar,Girona,CAM_Winger,Passes completed,57
Thomas Lemar,Girona,CAM_Winger,Passes attempted,68
Thomas Lemar,Girona,CAM_Winger,Key passes,2
Thomas Lemar,Girona,CAM_Winger,Through balls,0
Thomas Lemar,Girona,CAM_Winger,Switches,0
Thomas Lemar,Girona,CAM_Winger,Crosses,3
Thomas Lemar,Girona,CAM_Winger,Corners,2
Thomas Lemar,Girona,CAM_Winger,Shot creating Actions,4
Thomas Lemar,Girona,CAM_Winger,SCA Take Ons,0
Thomas Lemar,Girona,CAM_Winger,GCA Shots,0
Thomas Lemar,Girona,CAM_Winger,Goal Creating Actions,0
Thomas Lemar,Girona,CAM_Winger,Tackles,2
Thomas Lemar,Girona,CAM_Winger,Dribblers tackles,NA
Thomas Lemar,Girona,CAM_Winger,Shots blocked,0
Thomas Lemar,Girona,CAM_Winger,Blocks,0
Thomas Lemar,Girona,CAM_Winger,Interceptions,0
Thomas Lemar,Girona,CAM_Winger,Passes Recieved,62
Thomas Lemar,Girona,CAM_Winger,Offsides,0
Thomas Lemar,Girona,CAM_Winger,Ball recoveries,3
Thomas Lemar,Girona,CAM_Winger,Errors,0
Thomas Lemar,Girona,CAM_Winger,Touches,78
Thomas Lemar,Girona,CAM_Winger,Miscontrols,1
Thomas Lemar,Girona,CAM_Winger,Dispossessed,1
Thomas Lemar,Girona,CAM_Winger,Yellow Cards,0
Thomas Lemar,Girona,CAM_Winger,Red Cards,0
Thomas Lemar,Girona,CAM_Winger,Fouls committed,1
Thomas Lemar,Girona,CAM_Winger,Aerials Won,0
