Player Name,Club,Position,Metric,Value
Timothy Weah,Marseille,CAM_Winger,Goals,5
Timothy Weah,Marseille,CAM_Winger,Assists,2
Timothy Weah,Marseille,CAM_Winger,NPG,5
Timothy Weah,Marseille,CAM_Winger,XG,3.4
Timothy Weah,Marseille,CAM_Winger,XA,1.6
Timothy Weah,Marseille,CAM_Winger,Progressive passes,56
Timothy Weah,Marseille,CAM_Winger,Progressive carries,45
Timothy Weah,Marseille,CAM_Winger,Passes completed,659
Timothy Weah,Marseille,CAM_Winger,Passes attempted,787
Timothy Weah,Marseille,CAM_Winger,Key passes,19
Timothy Weah,Marseille,CAM_Winger,Through balls,2
Timothy Weah,Marseille,CAM_Winger,Switches,2
Timothy Weah,Marseille,CAM_Winger,Crosses,44
Timothy Weah,Marseille,CAM_Winger,Corners,2
Timothy Weah,Marseille,CAM_Winger,Shot creating Actions,36
Timothy Weah,Marseille,CAM_Winger,SCA Take Ons,1
Timothy Weah,Marseille,CAM_Winger,GCA Shots,1
Timothy Weah,Marseille,CAM_Winger,Goal Creating Actions,3
Timothy Weah,Marseille,CAM_Winger,Tackles,36
Timothy Weah,Marseille,CAM_Winger,Dribblers tackles,NA
Timothy Weah,Marseille,CAM_Winger,Shots blocked,4
Timothy Weah,Marseille,CAM_Winger,Blocks,25
Timothy Weah,Marseille,CAM_Winger,Interceptions,14
Timothy Weah,Marseille,CAM_Winger,Passes Recieved,652
Timothy Weah,Marseille,CAM_Winger,Offsides,3
Timothy Weah,Marseille,CAM_Winger,Ball recoveries,60
Timothy Weah,Marseille,CAM_Winger,Errors,2
Timothy Weah,Marseille,CAM_Winger,Touches,977
Timothy Weah,Marseille,CAM_Winger,Miscontrols,26
Timothy Weah,Marseille,CAM_Winger,Dispossessed,15
Timothy Weah,Marseille,CAM_Winger,Yellow Cards,4
Timothy Weah,Marseille,CAM_Winger,Red Cards,0
Timothy Weah,Marseille,CAM_Winger,Fouls committed,20
Timothy Weah,Marseille,CAM_Winger,Aerials Won,19
