Player Name,Club,Position,Metric,Value
Alexander Isak,Liverpool,ST,Goals,23
Alexander Isak,Liverpool,ST,Assists,6
Alexander Isak,Liverpool,ST,NPG,19
Alexander Isak,Liverpool,ST,XG,20.3
Alexander Isak,Liverpool,ST,XA,4.3
Alexander Isak,Liverpool,ST,Progressive passes,88
Alexander Isak,Liverpool,ST,Progressive carries,83
Alexander Isak,Liverpool,ST,Passes completed,519
Alexander Isak,Liverpool,ST,Passes attempted,689
Alexander Isak,Liverpool,ST,Key passes,41
Alexander Isak,Liverpool,ST,Through balls,6
Alexander Isak,Liverpool,ST,Switches,3
Alexander Isak,Liverpool,ST,Crosses,16
Alexander Isak,Liverpool,ST,Corners,3
Alexander Isak,Liverpool,ST,Shot creating Actions,92
Alexander Isak,Liverpool,ST,SCA Take Ons,8
Alexander Isak,Liverpool,ST,GCA Shots,0
Alexander Isak,Liverpool,ST,Goal Creating Actions,14
Alexander Isak,Liverpool,ST,Tackles,12
Alexander Isak,Liverpool,ST,Dribblers tackles,NA
Alexander Isak,Liverpool,ST,Shots blocked,2
Alexander Isak,Liverpool,ST,Blocks,18
Alexander Isak,Liverpool,ST,Interceptions,3
Alexander Isak,Liverpool,ST,Passes Recieved,740
Alexander Isak,Liverpool,ST,Offsides,20
Alexander Isak,Liverpool,ST,Ball recoveries,55
Alexander Isak,Liverpool,ST,Errors,1
Alexander Isak,Liverpool,ST,Touches,1025
Alexander Isak,Liverpool,ST,Miscontrols,66
Alexander Isak,Liverpool,ST,Dispossessed,55
Alexander Isak,Liverpool,ST,Yellow Cards,1
Alexander Isak,Liverpool,ST,Red Cards,0
Alexander Isak,Liverpool,ST,Fouls committed,27
Alexander Isak,Liverpool,ST,Aerials Won,26
