Player Name,Club,Position,Metric,Value
Antoine Griezmann,Atlético Madrid,ST,Goals,8
Antoine Griezmann,Atlético Madrid,ST,Assists,7
Antoine Griezmann,Atlético Madrid,ST,NPG,7
Antoine Griezmann,Atlético Madrid,ST,XG,7.4
Antoine Griezmann,Atlético Madrid,ST,XA,7.1
Antoine Griezmann,Atlético Madrid,ST,Progressive passes,143
Antoine Griezmann,Atlético Madrid,ST,Progressive carries,46
Antoine Griezmann,Atlético Madrid,ST,Passes completed,1094
Antoine Griezmann,Atlético Madrid,ST,Passes attempted,1463
Antoine Griezmann,Atlético Madrid,ST,Key passes,48
Antoine Griezmann,Atlético Madrid,ST,Through balls,12
Antoine Griezmann,Atlético Madrid,ST,Switches,9
Antoine Griezmann,Atlético Madrid,ST,Crosses,138
Antoine Griezmann,Atlético Madrid,ST,Corners,81
Antoine Griezmann,Atlético Madrid,ST,Shot creating Actions,93
Antoine Griezmann,Atlético Madrid,ST,SCA Take Ons,0
Antoine Griezmann,Atlético Madrid,ST,GCA Shots,1
Antoine Griezmann,Atlético Madrid,ST,Goal Creating Actions,13
Antoine Griezmann,Atlético Madrid,ST,Tackles,30
Antoine Griezmann,Atlético Madrid,ST,Dribblers tackles,NA
Antoine Griezmann,Atlético Madrid,ST,Shots blocked,1
Antoine Griezmann,Atlético Madrid,ST,Blocks,20
Antoine Griezmann,Atlético Madrid,ST,Interceptions,6
Antoine Griezmann,Atlético Madrid,ST,Passes Recieved,1255
Antoine Griezmann,Atlético Madrid,ST,Offsides,14
Antoine Griezmann,Atlético Madrid,ST,Ball recoveries,93
Antoine Griezmann,Atlético Madrid,ST,Errors,1
Antoine Griezmann,Atlético Madrid,ST,Touches,1678
Antoine Griezmann,Atlético Madrid,ST,Miscontrols,41
Antoine Griezmann,Atlético Madrid,ST,Dispossessed,20
Antoine Griezmann,Atlético Madrid,ST,Yellow Cards,2
Antoine Griezmann,Atlético Madrid,ST,Red Cards,0
Antoine Griezmann,Atlético Madrid,ST,Fouls committed,11
Antoine Griezmann,Atlético Madrid,ST,Aerials Won,21
