Player Name,Club,Position,Metric,Value
Benjamin Šeško,Manchester United,ST,Goals,13
Benjamin Šeško,Manchester United,ST,Assists,5
Benjamin Šeško,Manchester United,ST,NPG,11
Benjamin Šeško,Manchester United,ST,XG,10.0
Benjamin Šeško,Manchester United,ST,XA,2.1
Benjamin Šeško,Manchester United,ST,Progressive passes,46
Benjamin Šeško,Manchester United,ST,Progressive carries,47
Benjamin Šeško,Manchester United,ST,Passes completed,415
Benjamin Šeško,Manchester United,ST,Passes attempted,614
Benjamin Šeško,Manchester United,ST,Key passes,19
Benjamin Šeško,Manchester United,ST,Through balls,3
Benjamin Šeško,Manchester United,ST,Switches,1
Benjamin Šeško,Manchester United,ST,Crosses,7
Benjamin Šeško,Manchester United,ST,Corners,0
Benjamin Šeško,Manchester United,ST,Shot creating Actions,51
Benjamin Šeško,Manchester United,ST,SCA Take Ons,11
Benjamin Šeško,Manchester United,ST,GCA Shots,2
Benjamin Šeško,Manchester United,ST,Goal Creating Actions,9
Benjamin Šeško,Manchester United,ST,Tackles,7
Benjamin Šeško,Manchester United,ST,Dribblers tackles,NA
Benjamin Šeško,Manchester United,ST,Shots blocked,4
Benjamin Šeško,Manchester United,ST,Blocks,15
Benjamin Šeško,Manchester United,ST,Interceptions,5
Benjamin Šeško,Manchester United,ST,Passes Recieved,692
Benjamin Šeško,Manchester United,ST,Offsides,18
Benjamin Šeško,Manchester United,ST,Ball recoveries,62
Benjamin Šeško,Manchester United,ST,Errors,0
Benjamin Šeško,Manchester United,ST,Touches,901
Benjamin Šeško,Manchester United,ST,Miscontrols,66
Benjamin Šeško,Manchester United,ST,Dispossessed,55
Benjamin Šeško,Manchester United,ST,Yellow Cards,2
Benjamin Šeško,Manchester United,ST,Red Cards,1
Benjamin Šeško,Manchester United,ST,Fouls committed,26
Benjamin Šeško,Manchester United,ST,Aerials Won,70
