Player Name,Club,Position,Metric,Value
Darwin Núñez,Al-Hilal,ST,Goals,5
Darwin Núñez,Al-Hilal,ST,Assists,2
Darwin Núñez,Al-Hilal,ST,NPG,5
Darwin Núñez,Al-Hilal,ST,XG,5.8
Darwin Núñez,Al-Hilal,ST,XA,1.3
Darwin Núñez,Al-Hilal,ST,Progressive passes,27
Darwin Núñez,Al-Hilal,ST,Progressive carries,23
Darwin Núñez,Al-Hilal,ST,Passes completed,163
Darwin Núñez,Al-Hilal,ST,Passes attempted,230
Darwin Núñez,Al-Hilal,ST,Key passes,11
Darwin Núñez,Al-Hilal,ST,Through balls,1
Darwin Núñez,Al-Hilal,ST,Switches,6
Darwin Núñez,Al-Hilal,ST,Crosses,3
Darwin Núñez,Al-Hilal,ST,Corners,0
Darwin Núñez,Al-Hilal,ST,Shot creating Actions,31
Darwin Núñez,Al-Hilal,ST,SCA Take Ons,4
Darwin Núñez,Al-Hilal,ST,GCA Shots,0
Darwin Núñez,Al-Hilal,ST,Goal Creating Actions,4
Darwin Núñez,Al-Hilal,ST,Tackles,21
Darwin Núñez,Al-Hilal,ST,Dribblers tackles,NA
Darwin Núñez,Al-Hilal,ST,Shots blocked,0
Darwin Núñez,Al-Hilal,ST,Blocks,6
Darwin Núñez,Al-Hilal,ST,Interceptions,4
Darwin Núñez,Al-Hilal,ST,Passes Recieved,248
Darwin Núñez,Al-Hilal,ST,Offsides,12
Darwin Núñez,Al-Hilal,ST,Ball recoveries,41
Darwin Núñez,Al-Hilal,ST,Errors,0
Darwin Núñez,Al-Hilal,ST,Touches,366
Darwin Núñez,Al-Hilal,ST,Miscontrols,24
Darwin Núñez,Al-Hilal,ST,Dispossessed,21
Darwin Núñez,Al-Hilal,ST,Yellow Cards,8
Darwin Núñez,Al-Hilal,ST,Red Cards,0
Darwin Núñez,Al-Hilal,ST,Fouls committed,27
Darwin Núñez,Al-Hilal,ST,Aerials Won,20
