Player Name,Club,Position,Metric,Value
Dušan Vlahović,Juventus,ST,Goals,10
Dušan Vlahović,Juventus,ST,Assists,4
Dušan Vlahović,Juventus,ST,NPG,6
Dušan Vlahović,Juventus,ST,XG,12.3
Dušan Vlahović,Juventus,ST,XA,1.3
Dušan Vlahović,Juventus,ST,Progressive passes,22
Dušan Vlahović,Juventus,ST,Progressive carries,27
Dušan Vlahović,Juventus,ST,Passes completed,253
Dušan Vlahović,Juventus,ST,Passes attempted,366
Dušan Vlahović,Juventus,ST,Key passes,15
Dušan Vlahović,Juventus,ST,Through balls,3
Dušan Vlahović,Juventus,ST,Switches,4
Dušan Vlahović,Juventus,ST,Crosses,9
Dušan Vlahović,Juventus,ST,Corners,0
Dušan Vlahović,Juventus,ST,Shot creating Actions,41
Dušan Vlahović,Juventus,ST,SCA Take Ons,6
Dušan Vlahović,Juventus,ST,GCA Shots,0
Dušan Vlahović,Juventus,ST,Goal Creating Actions,8
Dušan Vlahović,Juventus,ST,Tackles,4
Dušan Vlahović,Juventus,ST,Dribblers tackles,NA
Dušan Vlahović,Juventus,ST,Shots blocked,3
Dušan Vlahović,Juventus,ST,Blocks,7
Dušan Vlahović,Juventus,ST,Interceptions,1
Dušan Vlahović,Juventus,ST,Passes Recieved,431
Dušan Vlahović,Juventus,ST,Offsides,12
Dušan Vlahović,Juventus,ST,Ball recoveries,36
Dušan Vlahović,Juventus,ST,Errors,3
Dušan Vlahović,Juventus,ST,Touches,564
Dušan Vlahović,Juventus,ST,Miscontrols,51
Dušan Vlahović,Juventus,ST,Dispossessed,28
Dušan Vlahović,Juventus,ST,Yellow Cards,3
Dušan Vlahović,Juventus,ST,Red Cards,0
Dušan Vlahović,Juventus,ST,Fouls committed,27
Dušan Vlahović,Juventus,ST,Aerials Won,39
