Player Name,Club,Position,Metric,Value
Erling Haaland,Manchester City,ST,Goals,22
Erling Haaland,Manchester City,ST,Assists,3
Erling Haaland,Manchester City,ST,NPG,19
Erling Haaland,Manchester City,ST,XG,22.0
Erling Haaland,Manchester City,ST,XA,3.0
Erling Haaland,Manchester City,ST,Progressive passes,20
Erling Haaland,Manchester City,ST,Progressive carries,24
Erling Haaland,Manchester City,ST,Passes completed,255
Erling Haaland,Manchester City,ST,Passes attempted,381
Erling Haaland,Manchester City,ST,Key passes,29
Erling Haaland,Manchester City,ST,Through balls,1
Erling Haaland,Manchester City,ST,Switches,0
Erling Haaland,Manchester City,ST,Crosses,3
Erling Haaland,Manchester City,ST,Corners,0
Erling Haaland,Manchester City,ST,Shot creating Actions,71
Erling Haaland,Manchester City,ST,SCA Take Ons,8
Erling Haaland,Manchester City,ST,GCA Shots,1
Erling Haaland,Manchester City,ST,Goal Creating Actions,9
Erling Haaland,Manchester City,ST,Tackles,11
Erling Haaland,Manchester City,ST,Dribblers tackles,NA
Erling Haaland,Manchester City,ST,Shots blocked,1
Erling Haaland,Manchester City,ST,Blocks,12
Erling Haaland,Manchester City,ST,Interceptions,5
Erling Haaland,Manchester City,ST,Passes Recieved,478
Erling Haaland,Manchester City,ST,Offsides,4
Erling Haaland,Manchester City,ST,Ball recoveries,34
Erling Haaland,Manchester City,ST,Errors,0
Erling Haaland,Manchester City,ST,Touches,639
Erling Haaland,Manchester City,ST,Miscontrols,45
Erling Haaland,Manchester City,ST,Dispossessed,27
Erling Haaland,Manchester City,ST,Yellow Cards,2
Erling Haaland,Manchester City,ST,Red Cards,0
Erling Haaland,Manchester City,ST,Fouls committed,24
Erling Haaland,Manchester City,ST,Aerials Won,57
