Player Name,Club,Position,Metric,Value
Evan Ferguson,Roma,ST,Goals,1
Evan Ferguson,Roma,ST,Assists,0
Evan Ferguson,Roma,ST,NPG,1
Evan Ferguson,Roma,ST,XG,0.5
Evan Ferguson,Roma,ST,XA,0.4
Evan Ferguson,Roma,ST,Progressive passes,1
Evan Ferguson,Roma,ST,Progressive carries,2
Evan Ferguson,Roma,ST,Passes completed,43
Evan Ferguson,Roma,ST,Passes attempted,58
Evan Ferguson,Roma,ST,Key passes,3
Evan Ferguson,Roma,ST,Through balls,0
Evan Ferguson,Roma,ST,Switches,0
Evan Ferguson,Roma,ST,Crosses,0
Evan Ferguson,Roma,ST,Corners,0
Evan Ferguson,Roma,ST,Shot creating Actions,4
Evan Ferguson,Roma,ST,SCA Take Ons,1
Evan Ferguson,Roma,ST,GCA Shots,0
Evan Ferguson,Roma,ST,Goal Creating Actions,0
Evan Ferguson,Roma,ST,Tackles,4
Evan Ferguson,Roma,ST,Dribblers tackles,NA
Evan Ferguson,Roma,ST,Shots blocked,1
Evan Ferguson,Roma,ST,Blocks,3
Evan Ferguson,Roma,ST,Interceptions,0
Evan Ferguson,Roma,ST,Passes Recieved,52
Evan Ferguson,Roma,ST,Offsides,0
Evan Ferguson,Roma,ST,Ball recoveries,10
Evan Ferguson,Roma,ST,Errors,0
Evan Ferguson,Roma,ST,Touches,88
Evan Ferguson,Roma,ST,Miscontrols,5
Evan Ferguson,Roma,ST,Dispossessed,6
Evan Ferguson,Roma,ST,Yellow Cards,0
Evan Ferguson,Roma,ST,Red Cards,0
Evan Ferguson,Roma,ST,Fouls committed,3
Evan Ferguson,Roma,ST,Aerials Won,4
