Player Name,Club,Position,Metric,Value
Gonçalo Ramos,Paris Saint-Germain,ST,Goals,10
Gonçalo Ramos,Paris Saint-Germain,ST,Assists,3
Gonçalo Ramos,Paris Saint-Germain,ST,NPG,8
Gonçalo Ramos,Paris Saint-Germain,ST,XG,13.6
Gonçalo Ramos,Paris Saint-Germain,ST,XA,2.2
Gonçalo Ramos,Paris Saint-Germain,ST,Progressive passes,24
Gonçalo Ramos,Paris Saint-Germain,ST,Progressive carries,11
Gonçalo Ramos,Paris Saint-Germain,ST,Passes completed,193
Gonçalo Ramos,Paris Saint-Germain,ST,Passes attempted,241
Gonçalo Ramos,Paris Saint-Germain,ST,Key passes,15
Gonçalo Ramos,Paris Saint-Germain,ST,Through balls,2
Gonçalo Ramos,Paris Saint-Germain,ST,Switches,0
Gonçalo Ramos,Paris Saint-Germain,ST,Crosses,1
Gonçalo Ramos,Paris Saint-Germain,ST,Corners,0
Gonçalo Ramos,Paris Saint-Germain,ST,Shot creating Actions,30
Gonçalo Ramos,Paris Saint-Germain,ST,SCA Take Ons,0
Gonçalo Ramos,Paris Saint-Germain,ST,GCA Shots,1
Gonçalo Ramos,Paris Saint-Germain,ST,Goal Creating Actions,6
Gonçalo Ramos,Paris Saint-Germain,ST,Tackles,11
Gonçalo Ramos,Paris Saint-Germain,ST,Dribblers tackles,NA
Gonçalo Ramos,Paris Saint-Germain,ST,Shots blocked,1
Gonçalo Ramos,Paris Saint-Germain,ST,Blocks,5
Gonçalo Ramos,Paris Saint-Germain,ST,Interceptions,0
Gonçalo Ramos,Paris Saint-Germain,ST,Passes Recieved,282
Gonçalo Ramos,Paris Saint-Germain,ST,Offsides,9
Gonçalo Ramos,Paris Saint-Germain,ST,Ball recoveries,18
Gonçalo Ramos,Paris Saint-Germain,ST,Errors,0
Gonçalo Ramos,Paris Saint-Germain,ST,Touches,353
Gonçalo Ramos,Paris Saint-Germain,ST,Miscontrols,16
Gonçalo Ramos,Paris Saint-Germain,ST,Dispossessed,11
Gonçalo Ramos,Paris Saint-Germain,ST,Yellow Cards,1
Gonçalo Ramos,Paris Saint-Germain,ST,Red Cards,0
Gonçalo Ramos,Paris Saint-Germain,ST,Fouls committed,8
Gonçalo Ramos,Paris Saint-Germain,ST,Aerials Won,20
