Player Name,Club,Position,Metric,Value
Harry Kane,Bayern Munich,ST,Goals,26
Harry Kane,Bayern Munich,ST,Assists,9
Harry Kane,Bayern Munich,ST,NPG,17
Harry Kane,Bayern Munich,ST,XG,20.3
Harry Kane,Bayern Munich,ST,XA,5.3
Harry Kane,Bayern Munich,ST,Progressive passes,97
Harry Kane,Bayern Munich,ST,Progressive carries,29
Harry Kane,Bayern Munich,ST,Passes completed,509
Harry Kane,Bayern Munich,ST,Passes attempted,645
Harry Kane,Bayern Munich,ST,Key passes,35
Harry Kane,Bayern Munich,ST,Through balls,17
Harry Kane,Bayern Munich,ST,Switches,14
Harry Kane,Bayern Munich,ST,Crosses,13
Harry Kane,Bayern Munich,ST,Corners,1
Harry Kane,Bayern Munich,ST,Shot creating Actions,89
Harry Kane,Bayern Munich,ST,SCA Take Ons,9
Harry Kane,Bayern Munich,ST,GCA Shots,4
Harry Kane,Bayern Munich,ST,Goal Creating Actions,21
Harry Kane,Bayern Munich,ST,Tackles,13
Harry Kane,Bayern Munich,ST,Dribblers tackles,NA
Harry Kane,Bayern Munich,ST,Shots blocked,2
Harry Kane,Bayern Munich,ST,Blocks,16
Harry Kane,Bayern Munich,ST,Interceptions,2
Harry Kane,Bayern Munich,ST,Passes Recieved,716
Harry Kane,Bayern Munich,ST,Offsides,16
Harry Kane,Bayern Munich,ST,Ball recoveries,61
Harry Kane,Bayern Munich,ST,Errors,0
Harry Kane,Bayern Munich,ST,Touches,917
Harry Kane,Bayern Munich,ST,Miscontrols,41
Harry Kane,Bayern Munich,ST,Dispossessed,22
Harry Kane,Bayern Munich,ST,Yellow Cards,5
Harry Kane,Bayern Munich,ST,Red Cards,0
Harry Kane,Bayern Munich,ST,Fouls committed,9
Harry Kane,Bayern Munich,ST,Aerials Won,29
