Player Name,Club,Position,Metric,Value
Hugo Ekitike,Liverpool,ST,Goals,15
Hugo Ekitike,Liverpool,ST,Assists,8
Hugo Ekitike,Liverpool,ST,NPG,14
Hugo Ekitike,Liverpool,ST,XG,21.6
Hugo Ekitike,Liverpool,ST,XA,6.8
Hugo Ekitike,Liverpool,ST,Progressive passes,53
Hugo Ekitike,Liverpool,ST,Progressive carries,93
Hugo Ekitike,Liverpool,ST,Passes completed,486
Hugo Ekitike,Liverpool,ST,Passes attempted,644
Hugo Ekitike,Liverpool,ST,Key passes,44
Hugo Ekitike,Liverpool,ST,Through balls,6
Hugo Ekitike,Liverpool,ST,Switches,5
Hugo Ekitike,Liverpool,ST,Crosses,17
Hugo Ekitike,Liverpool,ST,Corners,0
Hugo Ekitike,Liverpool,ST,Shot creating Actions,101
Hugo Ekitike,Liverpool,ST,SCA Take Ons,14
Hugo Ekitike,Liverpool,ST,GCA Shots,0
Hugo Ekitike,Liverpool,ST,Goal Creating Actions,12
Hugo Ekitike,Liverpool,ST,Tackles,16
Hugo Ekitike,Liverpool,ST,Dribblers tackles,NA
Hugo Ekitike,Liverpool,ST,Shots blocked,1
Hugo Ekitike,Liverpool,ST,Blocks,13
Hugo Ekitike,Liverpool,ST,Interceptions,7
Hugo Ekitike,Liverpool,ST,Passes Recieved,777
Hugo Ekitike,Liverpool,ST,Offsides,19
Hugo Ekitike,Liverpool,ST,Ball recoveries,87
Hugo Ekitike,Liverpool,ST,Errors,0
Hugo Ekitike,Liverpool,ST,Touches,1054
Hugo Ekitike,Liverpool,ST,Miscontrols,99
Hugo Ekitike,Liverpool,ST,Dispossessed,34
Hugo Ekitike,Liverpool,ST,Yellow Cards,1
Hugo Ekitike,Liverpool,ST,Red Cards,0
Hugo Ekitike,Liverpool,ST,Fouls committed,39
Hugo Ekitike,Liverpool,ST,Aerials Won,52
