Player Name,Club,Position,Metric,Value
Jonathan David,Juventus,ST,Goals,16
Jonathan David,Juventus,ST,Assists,5
Jonathan David,Juventus,ST,NPG,10
Jonathan David,Juventus,ST,XG,16.2
Jonathan David,Juventus,ST,XA,4.4
Jonathan David,Juventus,ST,Progressive passes,65
Jonathan David,Juventus,ST,Progressive carries,40
Jonathan David,Juventus,ST,Passes completed,563
Jonathan David,Juventus,ST,Passes attempted,686
Jonathan David,Juventus,ST,Key passes,36
Jonathan David,Juventus,ST,Through balls,4
Jonathan David,Juventus,ST,Switches,3
Jonathan David,Juventus,ST,Crosses,4
Jonathan David,Juventus,ST,Corners,0
Jonathan David,Juventus,ST,Shot creating Actions,74
Jonathan David,Juventus,ST,SCA Take Ons,4
Jonathan David,Juventus,ST,GCA Shots,1
Jonathan David,Juventus,ST,Goal Creating Actions,8
Jonathan David,Juventus,ST,Tackles,24
Jonathan David,Juventus,ST,Dribblers tackles,NA
Jonathan David,Juventus,ST,Shots blocked,2
Jonathan David,Juventus,ST,Blocks,13
Jonathan David,Juventus,ST,Interceptions,7
Jonathan David,Juventus,ST,Passes Recieved,717
Jonathan David,Juventus,ST,Offsides,10
Jonathan David,Juventus,ST,Ball recoveries,66
Jonathan David,Juventus,ST,Errors,1
Jonathan David,Juventus,ST,Touches,952
Jonathan David,Juventus,ST,Miscontrols,68
Jonathan David,Juventus,ST,Dispossessed,40
Jonathan David,Juventus,ST,Yellow Cards,4
Jonathan David,Juventus,ST,Red Cards,0
Jonathan David,Juventus,ST,Fouls committed,25
Jonathan David,Juventus,ST,Aerials Won,16
