Player Name,Club,Position,Metric,Value
Julián Álvarez,Atlético Madrid,ST,Goals,17
Julián Álvarez,Atlético Madrid,ST,Assists,4
Julián Álvarez,Atlético Madrid,ST,NPG,13
Julián Álvarez,Atlético Madrid,ST,XG,14.1
Julián Álvarez,Atlético Madrid,ST,XA,5.3
Julián Álvarez,Atlético Madrid,ST,Progressive passes,92
Julián Álvarez,Atlético Madrid,ST,Progressive carries,79
Julián Álvarez,Atlético Madrid,ST,Passes completed,717
Julián Álvarez,Atlético Madrid,ST,Passes attempted,966
Julián Álvarez,Atlético Madrid,ST,Key passes,41
Julián Álvarez,Atlético Madrid,ST,Through balls,14
Julián Álvarez,Atlético Madrid,ST,Switches,12
Julián Álvarez,Atlético Madrid,ST,Crosses,69
Julián Álvarez,Atlético Madrid,ST,Corners,50
Julián Álvarez,Atlético Madrid,ST,Shot creating Actions,108
Julián Álvarez,Atlético Madrid,ST,SCA Take Ons,9
Julián Álvarez,Atlético Madrid,ST,GCA Shots,3
Julián Álvarez,Atlético Madrid,ST,Goal Creating Actions,15
Julián Álvarez,Atlético Madrid,ST,Tackles,25
Julián Álvarez,Atlético Madrid,ST,Dribblers tackles,NA
Julián Álvarez,Atlético Madrid,ST,Shots blocked,0
Julián Álvarez,Atlético Madrid,ST,Blocks,14
Julián Álvarez,Atlético Madrid,ST,Interceptions,2
Julián Álvarez,Atlético Madrid,ST,Passes Recieved,892
Julián Álvarez,Atlético Madrid,ST,Offsides,9
Julián Álvarez,Atlético Madrid,ST,Ball recoveries,75
Julián Álvarez,Atlético Madrid,ST,Errors,1
Julián Álvarez,Atlético Madrid,ST,Touches,1238
Julián Álvarez,Atlético Madrid,ST,Miscontrols,62
Julián Álvarez,Atlético Madrid,ST,Dispossessed,40
Julián Álvarez,Atlético Madrid,ST,Yellow Cards,5
Julián Álvarez,Atlético Madrid,ST,Red Cards,0
Julián Álvarez,Atlético Madrid,ST,Fouls committed,26
Julián Álvarez,Atlético Madrid,ST,Aerials Won,13
