Player Name,Club,Position,Metric,Value
Kai Havertz,Arsenal,ST,Goals,9
Kai Havertz,Arsenal,ST,Assists,3
Kai Havertz,Arsenal,ST,NPG,9
Kai Havertz,Arsenal,ST,XG,9.5
Kai Havertz,Arsenal,ST,XA,2.4
Kai Havertz,Arsenal,ST,Progressive passes,61
Kai Havertz,Arsenal,ST,Progressive carries,35
Kai Havertz,Arsenal,ST,Passes completed,407
Kai Havertz,Arsenal,ST,Passes attempted,519
Kai Havertz,Arsenal,ST,Key passes,17
Kai Havertz,Arsenal,ST,Through balls,1
Kai Havertz,Arsenal,ST,Switches,0
Kai Havertz,Arsenal,ST,Crosses,11
Kai Havertz,Arsenal,ST,Corners,0
Kai Havertz,Arsenal,ST,Shot creating Actions,42
Kai Havertz,Arsenal,ST,SCA Take Ons,1
Kai Havertz,Arsenal,ST,GCA Shots,1
Kai Havertz,Arsenal,ST,Goal Creating Actions,3
Kai Havertz,Arsenal,ST,Tackles,16
Kai Havertz,Arsenal,ST,Dribblers tackles,NA
Kai Havertz,Arsenal,ST,Shots blocked,4
Kai Havertz,Arsenal,ST,Blocks,23
Kai Havertz,Arsenal,ST,Interceptions,6
Kai Havertz,Arsenal,ST,Passes Recieved,584
Kai Havertz,Arsenal,ST,Offsides,14
Kai Havertz,Arsenal,ST,Ball recoveries,41
Kai Havertz,Arsenal,ST,Errors,1
Kai Havertz,Arsenal,ST,Touches,785
Kai Havertz,Arsenal,ST,Miscontrols,44
Kai Havertz,Arsenal,ST,Dispossessed,23
Kai Havertz,Arsenal,ST,Yellow Cards,5
Kai Havertz,Arsenal,ST,Red Cards,0
Kai Havertz,Arsenal,ST,Fouls committed,38
Kai Havertz,Arsenal,ST,Aerials Won,63
