Player Name,Club,Position,Metric,Value
Kylian Mbappé,Real Madrid,ST,Goals,31
Kylian Mbappé,Real Madrid,ST,Assists,3
Kylian Mbappé,Real Madrid,ST,NPG,24
Kylian Mbappé,Real Madrid,ST,XG,25.9
Kylian Mbappé,Real Madrid,ST,XA,7.7
Kylian Mbappé,Real Madrid,ST,Progressive passes,140
Kylian Mbappé,Real Madrid,ST,Progressive carries,150
Kylian Mbappé,Real Madrid,ST,Passes completed,949
Kylian Mbappé,Real Madrid,ST,Passes attempted,1145
Kylian Mbappé,Real Madrid,ST,Key passes,51
Kylian Mbappé,Real Madrid,ST,Through balls,6
Kylian Mbappé,Real Madrid,ST,Switches,19
Kylian Mbappé,Real Madrid,ST,Crosses,35
Kylian Mbappé,Real Madrid,ST,Corners,6
Kylian Mbappé,Real Madrid,ST,Shot creating Actions,133
Kylian Mbappé,Real Madrid,ST,SCA Take Ons,23
Kylian Mbappé,Real Madrid,ST,GCA Shots,3
Kylian Mbappé,Real Madrid,ST,Goal Creating Actions,15
Kylian Mbappé,Real Madrid,ST,Tackles,8
Kylian Mbappé,Real Madrid,ST,Dribblers tackles,NA
Kylian Mbappé,Real Madrid,ST,Shots blocked,0
Kylian Mbappé,Real Madrid,ST,Blocks,3
Kylian Mbappé,Real Madrid,ST,Interceptions,1
Kylian Mbappé,Real Madrid,ST,Passes Recieved,1355
Kylian Mbappé,Real Madrid,ST,Offsides,44
Kylian Mbappé,Real Madrid,ST,Ball recoveries,36
Kylian Mbappé,Real Madrid,ST,Errors,1
Kylian Mbappé,Real Madrid,ST,Touches,1572
Kylian Mbappé,Real Madrid,ST,Miscontrols,84
Kylian Mbappé,Real Madrid,ST,Dispossessed,49
Kylian Mbappé,Real Madrid,ST,Yellow Cards,3
Kylian Mbappé,Real Madrid,ST,Red Cards,1
Kylian Mbappé,Real Madrid,ST,Fouls committed,25
Kylian Mbappé,Real Madrid,ST,Aerials Won,4
