Player Name,Club,Position,Metric,Value
Lautaro Martínez,Internazionale,ST,Goals,12
Lautaro Martínez,Internazionale,ST,Assists,3
Lautaro Martínez,Internazionale,ST,NPG,12
Lautaro Martínez,Internazionale,ST,XG,13.5
Lautaro Martínez,Internazionale,ST,XA,4.3
Lautaro Martínez,Internazionale,ST,Progressive passes,68
Lautaro Martínez,Internazionale,ST,Progressive carries,34
Lautaro Martínez,Internazionale,ST,Passes completed,472
Lautaro Martínez,Internazionale,ST,Passes attempted,634
Lautaro Martínez,Internazionale,ST,Key passes,36
Lautaro Martínez,Internazionale,ST,Through balls,9
Lautaro Martínez,Internazionale,ST,Switches,10
Lautaro Martínez,Internazionale,ST,Crosses,13
Lautaro Martínez,Internazionale,ST,Corners,0
Lautaro Martínez,Internazionale,ST,Shot creating Actions,77
Lautaro Martínez,Internazionale,ST,SCA Take Ons,2
Lautaro Martínez,Internazionale,ST,GCA Shots,2
Lautaro Martínez,Internazionale,ST,Goal Creating Actions,8
Lautaro Martínez,Internazionale,ST,Tackles,30
Lautaro Martínez,Internazionale,ST,Dribblers tackles,NA
Lautaro Martínez,Internazionale,ST,Shots blocked,3
Lautaro Martínez,Internazionale,ST,Blocks,21
Lautaro Martínez,Internazionale,ST,Interceptions,10
Lautaro Martínez,Internazionale,ST,Passes Recieved,754
Lautaro Martínez,Internazionale,ST,Offsides,22
Lautaro Martínez,Internazionale,ST,Ball recoveries,73
Lautaro Martínez,Internazionale,ST,Errors,0
Lautaro Martínez,Internazionale,ST,Touches,981
Lautaro Martínez,Internazionale,ST,Miscontrols,70
Lautaro Martínez,Internazionale,ST,Dispossessed,54
Lautaro Martínez,Internazionale,ST,Yellow Cards,1
Lautaro Martínez,Internazionale,ST,Red Cards,0
Lautaro Martínez,Internazionale,ST,Fouls committed,41
Lautaro Martínez,Internazionale,ST,Aerials Won,35
