Player Name,Club,Position,Metric,Value
Marcus Thuram,Internazionale,ST,Goals,14
Marcus Thuram,Internazionale,ST,Assists,4
Marcus Thuram,Internazionale,ST,NPG,14
Marcus Thuram,Internazionale,ST,XG,9.9
Marcus Thuram,Internazionale,ST,XA,4.4
Marcus Thuram,Internazionale,ST,Progressive passes,53
Marcus Thuram,Internazionale,ST,Progressive carries,62
Marcus Thuram,Internazionale,ST,Passes completed,412
Marcus Thuram,Internazionale,ST,Passes attempted,559
Marcus Thuram,Internazionale,ST,Key passes,39
Marcus Thuram,Internazionale,ST,Through balls,4
Marcus Thuram,Internazionale,ST,Switches,2
Marcus Thuram,Internazionale,ST,Crosses,13
Marcus Thuram,Internazionale,ST,Corners,0
Marcus Thuram,Internazionale,ST,Shot creating Actions,90
Marcus Thuram,Internazionale,ST,SCA Take Ons,7
Marcus Thuram,Internazionale,ST,GCA Shots,1
Marcus Thuram,Internazionale,ST,Goal Creating Actions,16
Marcus Thuram,Internazionale,ST,Tackles,18
Marcus Thuram,Internazionale,ST,Dribblers tackles,NA
Marcus Thuram,Internazionale,ST,Shots blocked,3
Marcus Thuram,Internazionale,ST,Blocks,16
Marcus Thuram,Internazionale,ST,Interceptions,3
Marcus Thuram,Internazionale,ST,Passes Recieved,612
Marcus Thuram,Internazionale,ST,Offsides,13
Marcus Thuram,Internazionale,ST,Ball recoveries,71
Marcus Thuram,Internazionale,ST,Errors,0
Marcus Thuram,Internazionale,ST,Touches,830
Marcus Thuram,Internazionale,ST,Miscontrols,55
Marcus Thuram,Internazionale,ST,Dispossessed,29
Marcus Thuram,Internazionale,ST,Yellow Cards,1
Marcus Thuram,Internazionale,ST,Red Cards,0
Marcus Thuram,Internazionale,ST,Fouls committed,30
Marcus Thuram,Internazionale,ST,Aerials Won,45
