Player Name,Club,Position,Metric,Value
Mateo Retegui,Al Qadisiyah,ST,Goals,25
Mateo Retegui,Al Qadisiyah,ST,Assists,8
Mateo Retegui,Al Qadisiyah,ST,NPG,21
Mateo Retegui,Al Qadisiyah,ST,XG,18.9
Mateo Retegui,Al Qadisiyah,ST,XA,4.9
Mateo Retegui,Al Qadisiyah,ST,Progressive passes,46
Mateo Retegui,Al Qadisiyah,ST,Progressive carries,21
Mateo Retegui,Al Qadisiyah,ST,Passes completed,440
Mateo Retegui,Al Qadisiyah,ST,Passes attempted,575
Mateo Retegui,Al Qadisiyah,ST,Key passes,38
Mateo Retegui,Al Qadisiyah,ST,Through balls,2
Mateo Retegui,Al Qadisiyah,ST,Switches,6
Mateo Retegui,Al Qadisiyah,ST,Crosses,15
Mateo Retegui,Al Qadisiyah,ST,Corners,0
Mateo Retegui,Al Qadisiyah,ST,Shot creating Actions,76
Mateo Retegui,Al Qadisiyah,ST,SCA Take Ons,2
Mateo Retegui,Al Qadisiyah,ST,GCA Shots,2
Mateo Retegui,Al Qadisiyah,ST,Goal Creating Actions,14
Mateo Retegui,Al Qadisiyah,ST,Tackles,14
Mateo Retegui,Al Qadisiyah,ST,Dribblers tackles,NA
Mateo Retegui,Al Qadisiyah,ST,Shots blocked,0
Mateo Retegui,Al Qadisiyah,ST,Blocks,7
Mateo Retegui,Al Qadisiyah,ST,Interceptions,4
Mateo Retegui,Al Qadisiyah,ST,Passes Recieved,704
Mateo Retegui,Al Qadisiyah,ST,Offsides,6
Mateo Retegui,Al Qadisiyah,ST,Ball recoveries,69
Mateo Retegui,Al Qadisiyah,ST,Errors,0
Mateo Retegui,Al Qadisiyah,ST,Touches,874
Mateo Retegui,Al Qadisiyah,ST,Miscontrols,96
Mateo Retegui,Al Qadisiyah,ST,Dispossessed,48
Mateo Retegui,Al Qadisiyah,ST,Yellow Cards,3
Mateo Retegui,Al Qadisiyah,ST,Red Cards,0
Mateo Retegui,Al Qadisiyah,ST,Fouls committed,32
Mateo Retegui,Al Qadisiyah,ST,Aerials Won,51
