Player Name,Club,Position,Metric,Value
Nicolas Jackson,Bayern Munich,ST,Goals,10
Nicolas Jackson,Bayern Munich,ST,Assists,5
Nicolas Jackson,Bayern Munich,ST,NPG,10
Nicolas Jackson,Bayern Munich,ST,XG,12.3
Nicolas Jackson,Bayern Munich,ST,XA,4.3
Nicolas Jackson,Bayern Munich,ST,Progressive passes,38
Nicolas Jackson,Bayern Munich,ST,Progressive carries,47
Nicolas Jackson,Bayern Munich,ST,Passes completed,303
Nicolas Jackson,Bayern Munich,ST,Passes attempted,399
Nicolas Jackson,Bayern Munich,ST,Key passes,28
Nicolas Jackson,Bayern Munich,ST,Through balls,1
Nicolas Jackson,Bayern Munich,ST,Switches,0
Nicolas Jackson,Bayern Munich,ST,Crosses,3
Nicolas Jackson,Bayern Munich,ST,Corners,0
Nicolas Jackson,Bayern Munich,ST,Shot creating Actions,69
Nicolas Jackson,Bayern Munich,ST,SCA Take Ons,9
Nicolas Jackson,Bayern Munich,ST,GCA Shots,1
Nicolas Jackson,Bayern Munich,ST,Goal Creating Actions,10
Nicolas Jackson,Bayern Munich,ST,Tackles,22
Nicolas Jackson,Bayern Munich,ST,Dribblers tackles,NA
Nicolas Jackson,Bayern Munich,ST,Shots blocked,2
Nicolas Jackson,Bayern Munich,ST,Blocks,15
Nicolas Jackson,Bayern Munich,ST,Interceptions,3
Nicolas Jackson,Bayern Munich,ST,Passes Recieved,514
Nicolas Jackson,Bayern Munich,ST,Offsides,23
Nicolas Jackson,Bayern Munich,ST,Ball recoveries,48
Nicolas Jackson,Bayern Munich,ST,Errors,0
Nicolas Jackson,Bayern Munich,ST,Touches,687
Nicolas Jackson,Bayern Munich,ST,Miscontrols,71
Nicolas Jackson,Bayern Munich,ST,Dispossessed,41
Nicolas Jackson,Bayern Munich,ST,Yellow Cards,7
Nicolas Jackson,Bayern Munich,ST,Red Cards,1
Nicolas Jackson,Bayern Munich,ST,Fouls committed,35
Nicolas Jackson,Bayern Munich,ST,Aerials Won,21
