Player Name,Club,Position,Metric,Value
Ollie Watkins,Aston Villa,ST,Goals,16
Ollie Watkins,Aston Villa,ST,Assists,8
Ollie Watkins,Aston Villa,ST,NPG,14
Ollie Watkins,Aston Villa,ST,XG,15.3
Ollie Watkins,Aston Villa,ST,XA,3.3
Ollie Watkins,Aston Villa,ST,Progressive passes,31
Ollie Watkins,Aston Villa,ST,Progressive carries,55
Ollie Watkins,Aston Villa,ST,Passes completed,307
Ollie Watkins,Aston Villa,ST,Passes attempted,424
Ollie Watkins,Aston Villa,ST,Key passes,24
Ollie Watkins,Aston Villa,ST,Through balls,1
Ollie Watkins,Aston Villa,ST,Switches,1
Ollie Watkins,Aston Villa,ST,Crosses,7
Ollie Watkins,Aston Villa,ST,Corners,0
Ollie Watkins,Aston Villa,ST,Shot creating Actions,53
Ollie Watkins,Aston Villa,ST,SCA Take Ons,4
Ollie Watkins,Aston Villa,ST,GCA Shots,1
Ollie Watkins,Aston Villa,ST,Goal Creating Actions,12
Ollie Watkins,Aston Villa,ST,Tackles,10
Ollie Watkins,Aston Villa,ST,Dribblers tackles,NA
Ollie Watkins,Aston Villa,ST,Shots blocked,3
Ollie Watkins,Aston Villa,ST,Blocks,11
Ollie Watkins,Aston Villa,ST,Interceptions,8
Ollie Watkins,Aston Villa,ST,Passes Recieved,552
Ollie Watkins,Aston Villa,ST,Offsides,16
Ollie Watkins,Aston Villa,ST,Ball recoveries,43
Ollie Watkins,Aston Villa,ST,Errors,2
Ollie Watkins,Aston Villa,ST,Touches,695
Ollie Watkins,Aston Villa,ST,Miscontrols,60
Ollie Watkins,Aston Villa,ST,Dispossessed,50
Ollie Watkins,Aston Villa,ST,Yellow Cards,2
Ollie Watkins,Aston Villa,ST,Red Cards,0
Ollie Watkins,Aston Villa,ST,Fouls committed,29
Ollie Watkins,Aston Villa,ST,Aerials Won,52
