Player Name,Club,Position,Metric,Value
Rasmus Højlund,Napoli,ST,Goals,4
Rasmus Højlund,Napoli,ST,Assists,0
Rasmus Højlund,Napoli,ST,NPG,4
Rasmus Højlund,Napoli,ST,XG,5.3
Rasmus Højlund,Napoli,ST,XA,1.8
Rasmus Højlund,Napoli,ST,Progressive passes,18
Rasmus Højlund,Napoli,ST,Progressive carries,28
Rasmus Højlund,Napoli,ST,Passes completed,251
Rasmus Højlund,Napoli,ST,Passes attempted,336
Rasmus Højlund,Napoli,ST,Key passes,16
Rasmus Højlund,Napoli,ST,Through balls,2
Rasmus Højlund,Napoli,ST,Switches,0
Rasmus Højlund,Napoli,ST,Crosses,8
Rasmus Højlund,Napoli,ST,Corners,0
Rasmus Højlund,Napoli,ST,Shot creating Actions,34
Rasmus Højlund,Napoli,ST,SCA Take Ons,3
Rasmus Højlund,Napoli,ST,GCA Shots,0
Rasmus Højlund,Napoli,ST,Goal Creating Actions,1
Rasmus Højlund,Napoli,ST,Tackles,3
Rasmus Højlund,Napoli,ST,Dribblers tackles,NA
Rasmus Højlund,Napoli,ST,Shots blocked,0
Rasmus Højlund,Napoli,ST,Blocks,6
Rasmus Højlund,Napoli,ST,Interceptions,2
Rasmus Højlund,Napoli,ST,Passes Recieved,408
Rasmus Højlund,Napoli,ST,Offsides,13
Rasmus Højlund,Napoli,ST,Ball recoveries,35
Rasmus Højlund,Napoli,ST,Errors,0
Rasmus Højlund,Napoli,ST,Touches,515
Rasmus Højlund,Napoli,ST,Miscontrols,63
Rasmus Højlund,Napoli,ST,Dispossessed,33
Rasmus Højlund,Napoli,ST,Yellow Cards,2
Rasmus Højlund,Napoli,ST,Red Cards,0
Rasmus Højlund,Napoli,ST,Fouls committed,17
Rasmus Højlund,Napoli,ST,Aerials Won,31
