Player Name,Club,Position,Metric,Value
Robert Lewandowski,Barcelona,ST,Goals,27
Robert Lewandowski,Barcelona,ST,Assists,2
Robert Lewandowski,Barcelona,ST,NPG,24
Robert Lewandowski,Barcelona,ST,XG,27.1
Robert Lewandowski,Barcelona,ST,XA,2.3
Robert Lewandowski,Barcelona,ST,Progressive passes,48
Robert Lewandowski,Barcelona,ST,Progressive carries,27
Robert Lewandowski,Barcelona,ST,Passes completed,383
Robert Lewandowski,Barcelona,ST,Passes attempted,522
Robert Lewandowski,Barcelona,ST,Key passes,19
Robert Lewandowski,Barcelona,ST,Through balls,3
Robert Lewandowski,Barcelona,ST,Switches,6
Robert Lewandowski,Barcelona,ST,Crosses,5
Robert Lewandowski,Barcelona,ST,Corners,0
Robert Lewandowski,Barcelona,ST,Shot creating Actions,50
Robert Lewandowski,Barcelona,ST,SCA Take Ons,4
Robert Lewandowski,Barcelona,ST,GCA Shots,1
Robert Lewandowski,Barcelona,ST,Goal Creating Actions,3
Robert Lewandowski,Barcelona,ST,Tackles,10
Robert Lewandowski,Barcelona,ST,Dribblers tackles,NA
Robert Lewandowski,Barcelona,ST,Shots blocked,2
Robert Lewandowski,Barcelona,ST,Blocks,14
Robert Lewandowski,Barcelona,ST,Interceptions,3
Robert Lewandowski,Barcelona,ST,Passes Recieved,667
Robert Lewandowski,Barcelona,ST,Offsides,17
Robert Lewandowski,Barcelona,ST,Ball recoveries,45
Robert Lewandowski,Barcelona,ST,Errors,0
Robert Lewandowski,Barcelona,ST,Touches,841
Robert Lewandowski,Barcelona,ST,Miscontrols,75
Robert Lewandowski,Barcelona,ST,Dispossessed,45
Robert Lewandowski,Barcelona,ST,Yellow Cards,1
Robert Lewandowski,Barcelona,ST,Red Cards,0
Robert Lewandowski,Barcelona,ST,Fouls committed,30
Robert Lewandowski,Barcelona,ST,Aerials Won,37
