Player Name,Club,Position,Metric,Value
Santiago Giménez,Milan,ST,Goals,7
Santiago Giménez,Milan,ST,Assists,1
Santiago Giménez,Milan,ST,NPG,5
Santiago Giménez,Milan,ST,XG,7.2
Santiago Giménez,Milan,ST,XA,1.4
Santiago Giménez,Milan,ST,Progressive passes,8
Santiago Giménez,Milan,ST,Progressive carries,7
Santiago Giménez,Milan,ST,Passes completed,65
Santiago Giménez,Milan,ST,Passes attempted,102
Santiago Giménez,Milan,ST,Key passes,11
Santiago Giménez,Milan,ST,Through balls,0
Santiago Giménez,Milan,ST,Switches,0
Santiago Giménez,Milan,ST,Crosses,2
Santiago Giménez,Milan,ST,Corners,0
Santiago Giménez,Milan,ST,Shot creating Actions,19
Santiago Giménez,Milan,ST,SCA Take Ons,2
Santiago Giménez,Milan,ST,GCA Shots,1
Santiago Giménez,Milan,ST,Goal Creating Actions,2
Santiago Giménez,Milan,ST,Tackles,5
Santiago Giménez,Milan,ST,Dribblers tackles,NA
Santiago Giménez,Milan,ST,Shots blocked,0
Santiago Giménez,Milan,ST,Blocks,5
Santiago Giménez,Milan,ST,Interceptions,0
Santiago Giménez,Milan,ST,Passes Recieved,149
Santiago Giménez,Milan,ST,Offsides,7
Santiago Giménez,Milan,ST,Ball recoveries,25
Santiago Giménez,Milan,ST,Errors,0
Santiago Giménez,Milan,ST,Touches,207
Santiago Giménez,Milan,ST,Miscontrols,22
Santiago Giménez,Milan,ST,Dispossessed,15
Santiago Giménez,Milan,ST,Yellow Cards,1
Santiago Giménez,Milan,ST,Red Cards,0
Santiago Giménez,Milan,ST,Fouls committed,3
Santiago Giménez,Milan,ST,Aerials Won,12
