Player Name,Club,Position,Metric,Value
Serhou Guirassy,Dortmund,ST,Goals,21
Serhou Guirassy,Dortmund,ST,Assists,4
Serhou Guirassy,Dortmund,ST,NPG,18
Serhou Guirassy,Dortmund,ST,XG,22.7
Serhou Guirassy,Dortmund,ST,XA,3.9
Serhou Guirassy,Dortmund,ST,Progressive passes,43
Serhou Guirassy,Dortmund,ST,Progressive carries,25
Serhou Guirassy,Dortmund,ST,Passes completed,456
Serhou Guirassy,Dortmund,ST,Passes attempted,627
Serhou Guirassy,Dortmund,ST,Key passes,25
Serhou Guirassy,Dortmund,ST,Through balls,9
Serhou Guirassy,Dortmund,ST,Switches,3
Serhou Guirassy,Dortmund,ST,Crosses,1
Serhou Guirassy,Dortmund,ST,Corners,0
Serhou Guirassy,Dortmund,ST,Shot creating Actions,53
Serhou Guirassy,Dortmund,ST,SCA Take Ons,1
Serhou Guirassy,Dortmund,ST,GCA Shots,3
Serhou Guirassy,Dortmund,ST,Goal Creating Actions,10
Serhou Guirassy,Dortmund,ST,Tackles,7
Serhou Guirassy,Dortmund,ST,Dribblers tackles,NA
Serhou Guirassy,Dortmund,ST,Shots blocked,3
Serhou Guirassy,Dortmund,ST,Blocks,10
Serhou Guirassy,Dortmund,ST,Interceptions,4
Serhou Guirassy,Dortmund,ST,Passes Recieved,747
Serhou Guirassy,Dortmund,ST,Offsides,12
Serhou Guirassy,Dortmund,ST,Ball recoveries,45
Serhou Guirassy,Dortmund,ST,Errors,0
Serhou Guirassy,Dortmund,ST,Touches,965
Serhou Guirassy,Dortmund,ST,Miscontrols,76
Serhou Guirassy,Dortmund,ST,Dispossessed,30
Serhou Guirassy,Dortmund,ST,Yellow Cards,4
Serhou Guirassy,Dortmund,ST,Red Cards,0
Serhou Guirassy,Dortmund,ST,Fouls committed,16
Serhou Guirassy,Dortmund,ST,Aerials Won,109
