Player Name,Club,Position,Metric,Value
Tammy Abraham,Beşiktaş,ST,Goals,0
Tammy Abraham,Beşiktaş,ST,Assists,0
Tammy Abraham,Beşiktaş,ST,NPG,0
Tammy Abraham,Beşiktaş,ST,XG,0.0
Tammy Abraham,Beşiktaş,ST,XA,0.0
Tammy Abraham,Beşiktaş,ST,Progressive passes,1
Tammy Abraham,Beşiktaş,ST,Progressive carries,0
Tammy Abraham,Beşiktaş,ST,Passes completed,1
Tammy Abraham,Beşiktaş,ST,Passes attempted,3
Tammy Abraham,Beşiktaş,ST,Key passes,0
Tammy Abraham,Beşiktaş,ST,Through balls,0
Tammy Abraham,Beşiktaş,ST,Switches,0
Tammy Abraham,Beşiktaş,ST,Crosses,0
Tammy Abraham,Beşiktaş,ST,Corners,0
Tammy Abraham,Beşiktaş,ST,Shot creating Actions,0
Tammy Abraham,Beşiktaş,ST,SCA Take Ons,0
Tammy Abraham,Beşiktaş,ST,GCA Shots,0
Tammy Abraham,Beşiktaş,ST,Goal Creating Actions,0
Tammy Abraham,Beşiktaş,ST,Tackles,0
Tammy Abraham,Beşiktaş,ST,Dribblers tackles,NA
Tammy Abraham,Beşiktaş,ST,Shots blocked,0
Tammy Abraham,Beşiktaş,ST,Blocks,0
Tammy Abraham,Beşiktaş,ST,Interceptions,0
Tammy Abraham,Beşiktaş,ST,Passes Recieved,4
Tammy Abraham,Beşiktaş,ST,Offsides,0
Tammy Abraham,Beşiktaş,ST,Ball recoveries,0
Tammy Abraham,Beşiktaş,ST,Errors,0
Tammy Abraham,Beşiktaş,ST,Touches,4
Tammy Abraham,Beşiktaş,ST,Miscontrols,1
Tammy Abraham,Beşiktaş,ST,Dispossessed,0
Tammy Abraham,Beşiktaş,ST,Yellow Cards,0
Tammy Abraham,Beşiktaş,ST,Red Cards,0
Tammy Abraham,Beşiktaş,ST,Fouls committed,0
Tammy Abraham,Beşiktaş,ST,Aerials Won,1
