Player Name,Club,Position,Metric,Value
Victor Osimhen,Galatasaray,ST,Goals,26
Victor Osimhen,Galatasaray,ST,Assists,5
Victor Osimhen,Galatasaray,ST,NPG,20
Victor Osimhen,Galatasaray,ST,XG,NA
Victor Osimhen,Galatasaray,ST,XA,NA
Victor Osimhen,Galatasaray,ST,Progressive passes,NA
Victor Osimhen,Galatasaray,ST,Progressive carries,NA
Victor Osimhen,Galatasaray,ST,Passes completed,NA
Victor Osimhen,Galatasaray,ST,Passes attempted,NA
Victor Osimhen,Galatasaray,ST,Key passes,NA
Victor Osimhen,Galatasaray,ST,Through balls,NA
Victor Osimhen,Galatasaray,ST,Switches,NA
Victor Osimhen,Galatasaray,ST,Crosses,15
Victor Osimhen,Galatasaray,ST,Corners,NA
Victor Osimhen,Galatasaray,ST,Shot creating Actions,NA
Victor Osimhen,Galatasaray,ST,SCA Take Ons,NA
Victor Osimhen,Galatasaray,ST,GCA Shots,NA
Victor Osimhen,Galatasaray,ST,Goal Creating Actions,NA
Victor Osimhen,Galatasaray,ST,Tackles,6
Victor Osimhen,Galatasaray,ST,Dribblers tackles,NA
Victor Osimhen,Galatasaray,ST,Shots blocked,NA
Victor Osimhen,Galatasaray,ST,Blocks,NA
Victor Osimhen,Galatasaray,ST,Interceptions,9
Victor Osimhen,Galatasaray,ST,Passes Recieved,NA
Victor Osimhen,Galatasaray,ST,Offsides,41
Victor Osimhen,Galatasaray,ST,Ball recoveries,NA
Victor Osimhen,Galatasaray,ST,Errors,NA
Victor Osimhen,Galatasaray,ST,Touches,NA
Victor Osimhen,Galatasaray,ST,Miscontrols,NA
Victor Osimhen,Galatasaray,ST,Dispossessed,NA
Victor Osimhen,Galatasaray,ST,Yellow Cards,4
Victor Osimhen,Galatasaray,ST,Red Cards,0
Victor Osimhen,Galatasaray,ST,Fouls committed,29
Victor Osimhen,Galatasaray,ST,Aerials Won,NA
