Player Name,Club,Position,Metric,Value
Viktor Gyökeres,Arsenal,ST,Goals,39
Viktor Gyökeres,Arsenal,ST,Assists,7
Viktor Gyökeres,Arsenal,ST,NPG,27
Viktor Gyökeres,Arsenal,ST,XG,30.8
Viktor Gyökeres,Arsenal,ST,XA,7.1
Viktor Gyökeres,Arsenal,ST,Progressive passes,68
Viktor Gyökeres,Arsenal,ST,Progressive carries,133
Viktor Gyökeres,Arsenal,ST,Passes completed,506
Viktor Gyökeres,Arsenal,ST,Passes attempted,709
Viktor Gyökeres,Arsenal,ST,Key passes,61
Viktor Gyökeres,Arsenal,ST,Through balls,4
Viktor Gyökeres,Arsenal,ST,Switches,1
Viktor Gyökeres,Arsenal,ST,Crosses,25
Viktor Gyökeres,Arsenal,ST,Corners,0
Viktor Gyökeres,Arsenal,ST,Shot creating Actions,154
Viktor Gyökeres,Arsenal,ST,SCA Take Ons,25
Viktor Gyökeres,Arsenal,ST,GCA Shots,2
Viktor Gyökeres,Arsenal,ST,Goal Creating Actions,31
Viktor Gyökeres,Arsenal,ST,Tackles,9
Viktor Gyökeres,Arsenal,ST,Dribblers tackles,NA
Viktor Gyökeres,Arsenal,ST,Shots blocked,3
Viktor Gyökeres,Arsenal,ST,Blocks,13
Viktor Gyökeres,Arsenal,ST,Interceptions,6
Viktor Gyökeres,Arsenal,ST,Passes Recieved,904
Viktor Gyökeres,Arsenal,ST,Offsides,9
Viktor Gyökeres,Arsenal,ST,Ball recoveries,75
Viktor Gyökeres,Arsenal,ST,Errors,0
Viktor Gyökeres,Arsenal,ST,Touches,1141
Viktor Gyökeres,Arsenal,ST,Miscontrols,94
Viktor Gyökeres,Arsenal,ST,Dispossessed,55
Viktor Gyökeres,Arsenal,ST,Yellow Cards,4
Viktor Gyökeres,Arsenal,ST,Red Cards,0
Viktor Gyökeres,Arsenal,ST,Fouls committed,24
Viktor Gyökeres,Arsenal,ST,Aerials Won,36
