Player Name,Club,Position,Metric,Value
Youssef En-Nesyri,Fenerbahçe,ST,Goals,20
Youssef En-Nesyri,Fenerbahçe,ST,Assists,4
Youssef En-Nesyri,Fenerbahçe,ST,NPG,20
Youssef En-Nesyri,Fenerbahçe,ST,XG,NA
Youssef En-Nesyri,Fenerbahçe,ST,XA,NA
Youssef En-Nesyri,Fenerbahçe,ST,Progressive passes,NA
Youssef En-Nesyri,Fenerbahçe,ST,Progressive carries,NA
Youssef En-Nesyri,Fenerbahçe,ST,Passes completed,NA
Youssef En-Nesyri,Fenerbahçe,ST,Passes attempted,NA
Youssef En-Nesyri,Fenerbahçe,ST,Key passes,NA
Youssef En-Nesyri,Fenerbahçe,ST,Through balls,NA
Youssef En-Nesyri,Fenerbahçe,ST,Switches,NA
Youssef En-Nesyri,Fenerbahçe,ST,Crosses,12
Youssef En-Nesyri,Fenerbahçe,ST,Corners,NA
Youssef En-Nesyri,Fenerbahçe,ST,Shot creating Actions,NA
Youssef En-Nesyri,Fenerbahçe,ST,SCA Take Ons,NA
Youssef En-Nesyri,Fenerbahçe,ST,GCA Shots,NA
Youssef En-Nesyri,Fenerbahçe,ST,Goal Creating Actions,NA
Youssef En-Nesyri,Fenerbahçe,ST,Tackles,8
Youssef En-Nesyri,Fenerbahçe,ST,Dribblers tackles,NA
Youssef En-Nesyri,Fenerbahçe,ST,Shots blocked,NA
Youssef En-Nesyri,Fenerbahçe,ST,Blocks,NA
Youssef En-Nesyri,Fenerbahçe,ST,Interceptions,2
Youssef En-Nesyri,Fenerbahçe,ST,Passes Recieved,NA
Youssef En-Nesyri,Fenerbahçe,ST,Offsides,17
Youssef En-Nesyri,Fenerbahçe,ST,Ball recoveries,NA
Youssef En-Nesyri,Fenerbahçe,ST,Errors,NA
Youssef En-Nesyri,Fenerbahçe,ST,Touches,NA
Youssef En-Nesyri,Fenerbahçe,ST,Miscontrols,NA
Youssef En-Nesyri,Fenerbahçe,ST,Dispossessed,NA
Youssef En-Nesyri,Fenerbahçe,ST,Yellow Cards,4
Youssef En-Nesyri,Fenerbahçe,ST,Red Cards,0
Youssef En-Nesyri,Fenerbahçe,ST,Fouls committed,18
Youssef En-Nesyri,Fenerbahçe,ST,Aerials Won,NA
